  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3385    0.010    0.000    0.411    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       42    0.001    0.000    0.409    0.010 database.py:252(add_index)
        2    0.000    0.000    0.400    0.200 numbers.py:1(<module>)
        2    0.000    0.000    0.399    0.200 strings.py:1(<module>)
     1325    0.038    0.000    0.399    0.000 import_file.py:81(read_doc_from_file)
     3638    0.005    0.000    0.397    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
     4647    0.021    0.000    0.395    0.000 data.py:147(get_time_zone)
     3385    0.394    0.000    0.394    0.000 {built-in method marshal.loads}
3639/3638    0.014    0.000    0.391    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     1999    0.121    0.000    0.386    0.000 __init__.py:1034(read_file)
       27    0.000    0.000    0.375    0.014 custom_docperm.py:10(on_update)
               1    0.000    0.000    0.372    0.372 hr_settings.py:32(toggle_rounded_total)
        1    0.000    0.000    0.366    0.366 doctype.py:990(validate_permissions_for_doctype)
     3067    0.004    0.000    0.356    0.000 document.py:177(check_permission)
     3067    0.005    0.000    0.352    0.000 document.py:182(has_permission)
      405    0.002    0.000    0.351    0.001 __init__.py:603(has_permission)
      405    0.003    0.000    0.348    0.001 permissions.py:24(inner)
     2486    0.044    0.000    0.347    0.000 data.py:902(get_filter)
      405    0.002    0.000    0.341    0.001 permissions.py:38(has_permission)
    16995    0.071    0.000    0.340    0.000 __init__.py:144(<listcomp>)
  3020584    0.340    0.000    0.340    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.338    0.338 doctype.py:1002(clear_permissions_cache)
      337    0.006    0.000    0.338    0.001 __init__.py:880(get_all_apps)
      405    0.006    0.000    0.338    0.001 __init__.py:661(is_table)
       33    0.000    0.000    0.337    0.010 print_format.py:49(on_update)
        3    0.000    0.000    0.331    0.110 install.py:145(add_permissions_to_roles)
        1    0.000    0.000    0.331    0.331 utils.py:82(create_or_get_control_central_user)
   256535    0.109    0.000    0.331    0.000 converters.py:68(_escape_unicode)
214144/214120    0.069    0.000    0.330    0.000 encoder.py:413(_iterencode)
     3028    0.291    0.000    0.329    0.000 {built-in method io.open}
     3067    0.008    0.000    0.329    0.000 document.py:704(set_parent_in_children)
     4209    0.049    0.000    0.320    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
        8    0.000    0.000    0.316    0.039 database.py:696(set_global)
     3066    0.010    0.000    0.311    0.000 document.py:483(validate_workflow)
     3063    0.030    0.000    0.298    0.000 document.py:962(notify_update)
    57810    0.114    0.000    0.297    0.000 connection.py:985(release)
     1376    0.008    0.000    0.292    0.000 meta.py:329(sort_fields)
     1017    0.002    0.000    0.291    0.000 client.py:1961(hget)
     1307    0.002    0.000    0.285    0.000 database.py:861(get_table_columns)
        1    0.000    0.000    0.285    0.285 install.py:231(setup_wildcards_for_custom_doctypes)
     2365    0.006    0.000    0.285    0.000 meta.py:285(get_workflow)
     1307    0.005    0.000    0.283    0.000 database.py:847(get_db_table_columns)
      974    0.002    0.000    0.281    0.000 database.py:732(begin)
       73    0.000    0.000    0.280    0.004 database.py:228(sql_list)
    18958    0.068    0.000    0.280    0.000 naming.py:200(validate_name)
     2365    0.010    0.000    0.279    0.000 workflow.py:15(get_workflow_name)
   562084    0.178    0.000    0.275    0.000 data.py:864(<lambda>)
